# mpl-token-metadata (metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s) — Shank u8 discriminators.
# CORRECTED 2026-08-09 (C24): the program is Shank-derived, NOT Anchor. Discriminators
# are u8 values assigned by enum order in mpl-token-metadata program/src/instruction/mod.rs,
# NOT sha256("global:"+name). The previous values in this file were camelCase Anchor-style
# hashes that were never observed on-chain.
#
#   value  instruction (enum order)
CreateMetadataAccount 00
UpdateMetadataAccount 01
DeprecatedCreateMasterEdition 02
DeprecatedMintNewEditionFromMasterEditionViaPrintingToken 03
UpdatePrimarySaleHappenedViaToken 04
DeprecatedSetReservationList 05
DeprecatedCreateReservationList 06
SignMetadata 07
DeprecatedMintPrintingTokensViaToken 08
DeprecatedMintPrintingTokens 09
CreateMasterEdition 0a
MintNewEditionFromMasterEditionViaToken 0b
ConvertMasterEditionV1ToV2 0c
MintNewEditionFromMasterEditionViaVaultProxy 0d
PuffMetadata 0e
UpdateMetadataAccountV2 0f
CreateMetadataAccountV2 10
CreateMasterEditionV3 11
VerifyCollection 12
Utilize 13
ApproveUseAuthority 14
RevokeUseAuthority 15
UnverifyCollection 16
ApproveCollectionAuthority 17
RevokeCollectionAuthority 18
SetAndVerifyCollection 19
FreezeDelegatedAccount 1a
ThawDelegatedAccount 1b
RemoveCreatorVerification 1c
BurnNft 1d
VerifySizedCollectionItem 1e
UnverifySizedCollectionItem 1f
SetAndVerifySizedCollectionItem 20
CreateMetadataAccountV3 21
